timestamp_s,frame_len,direction,comm_id,port,payload_len,seq_num
1779314471.462429047,53,1,200,1,21,190
1779314471.721648932,933,3,200,1,901,44
1779314471.861702919,53,3,200,1,21,45
1779314471.863066912,50,1,200,1,18,191
1779314471.863467932,50,1,200,1,18,192
1779314471.863784075,50,1,200,1,18,193
1779314471.865698099,58,3,200,1,26,46
1779314472.003770113,933,3,200,1,901,47
1779314472.027904987,353,3,200,1,321,48
1779314472.051211119,353,3,200,1,321,49
1779314472.073697090,353,3,200,1,321,50
1779314472.097125053,353,3,200,1,321,51
1779314472.119616032,353,3,200,1,321,52
1779314472.142210960,353,3,200,1,321,53
1779314472.164664030,353,3,200,1,321,54
1779314472.188286066,353,3,200,1,321,55
1779314472.211956024,353,3,200,1,321,56
1779314472.234513044,353,3,200,1,321,57
1779314472.256711960,353,3,200,1,321,58
1779314472.279577971,353,3,200,1,321,59
1779314472.292334080,612,3,200,1,580,60
1779314472.305469990,353,3,200,1,321,61
1779314472.328702927,353,3,200,1,321,62
1779314472.351082087,353,3,200,1,321,63
1779314472.373859882,353,3,200,1,321,64
1779314472.397381067,353,3,200,1,321,65
1779314472.420650005,353,3,200,1,321,66
1779314472.444169044,353,3,200,1,321,67
1779314472.467520952,353,3,200,1,321,68
1779314472.470933914,53,1,200,1,21,194
1779314472.491456032,353,3,200,1,321,69
1779314472.514538050,353,3,200,1,321,70
1779314472.536748886,353,3,200,1,321,71
1779314472.559799910,353,3,200,1,321,72
1779314472.582461119,933,3,200,1,901,73
1779314472.589104891,67,1,200,1,35,195
1779314472.605839014,353,3,200,1,321,74
1779314472.609148979,65,3,200,1,33,75
1779314472.628587008,353,3,200,1,321,76
1779314472.652549028,353,3,200,1,321,77
1779314472.676301956,353,3,200,1,321,78
1779314472.699839115,353,3,200,1,321,79
1779314472.723228931,353,3,200,1,321,80
1779314472.746680021,353,3,200,1,321,81
1779314472.769010067,353,3,200,1,321,82
1779314472.791987896,353,3,200,1,321,83
1779314472.814388037,353,3,200,1,321,84
1779314472.837737083,353,3,200,1,321,85
1779314472.860861063,353,3,200,1,321,86
1779314472.872684956,612,3,200,1,580,87
1779314472.885524988,353,3,200,1,321,88
1779314472.908634901,353,3,200,1,321,89
1779314472.930730104,353,3,200,1,321,90
1779314472.953418970,353,3,200,1,321,91
1779314472.976522923,353,3,200,1,321,92
1779314472.999840975,353,3,200,1,321,93
1779314473.017405033,53,3,200,1,21,94
1779314473.023483038,353,3,200,1,321,95
1779314473.046875000,353,3,200,1,321,96
1779314473.069129944,353,3,200,1,321,97
1779314473.092859030,353,3,200,1,321,98
1779314473.115597963,353,3,200,1,321,99
1779314473.138154030,353,3,200,1,321,100
1779314473.161442041,933,3,200,1,901,101
1779314473.185239077,353,3,200,1,321,102
1779314473.208792925,353,3,200,1,321,103
1779314473.232137918,353,3,200,1,321,104
1779314473.255388975,353,3,200,1,321,105
1779314473.279577017,353,3,200,1,321,106
1779314473.303143024,353,3,200,1,321,107
1779314473.325510979,353,3,200,1,321,108
1779314473.347851992,353,3,200,1,321,109
1779314473.370563984,353,3,200,1,321,110
1779314473.394087076,353,3,200,1,321,111
1779314473.416954994,353,3,200,1,321,112
1779314473.440273046,353,3,200,1,321,113
1779314473.452353001,612,3,200,1,580,114
1779314473.464704990,353,3,200,1,321,115
1779314473.477909088,53,1,200,1,21,196
1779314473.487155914,353,3,200,1,321,116
1779314473.509625912,353,3,200,1,321,117
1779314473.533885956,353,3,200,1,321,118
1779314473.557220936,353,3,200,1,321,119
1779314473.580323935,353,3,200,1,321,120
1779314473.603212118,353,3,200,1,321,121
1779314473.626063108,353,3,200,1,321,122
1779314473.649174929,353,3,200,1,321,123
1779314473.672605038,353,3,200,1,321,124
1779314473.695975065,353,3,200,1,321,125
1779314473.719240904,353,3,200,1,321,126
1779314473.742551088,933,3,200,1,901,127
1779314473.766227961,353,3,200,1,321,128
1779314473.789911985,353,3,200,1,321,129
